CruiseSpeed ThrottleCmd CruiseState
# DO NOT modify first line to a comment will be used for header
###########################################################
################### Car Driving in STATE OFF ############## 
###########################################################
0.000000 0.000000 1
0.000000 0.000000 1
0.000000 51.234001 1
0.000000 51.234001 1
0.000000 51.234001 1
0.000000 51.234001 1
0.000000 51.234001 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 89.686996 1
0.000000 0.000000 1
###########################################################
################### NEXT STATE transitions ################
###########################################################
# TEST 19: 
36.049000 0.000000 2
# TEST 20: 
36.049000 0.938827 2
# TEST 21:
36.049000 0.000000 4
# TEST 22:
36.049000 0.000000 4
# Test 23:
36.049000 10.000000 4
# Test 24:
36.049000 10.000000 3
# Test 25:
36.049000 0.000000 2
# Test 26:
36.049000 10.000000 3
# Test 27:
36.049000 0.000000 4
# Test 28:
36.049000 0.000000 2
# Test 29:
36.049000 0.000000 1
######################################################################
################### Cruise Speed Management in State OFF ##############
######################################################################
# Test 30:
36.049000 10.000000 1
# Test 31:
36.049000 0.000000 1
# Test 32:
36.049000 0.000000 1
# Test 33:
36.049000 0.000000 1
# Test 34:
36.049000 0.000000 1
# Test 35:
35.060001 0.000000 2
######################################################################
################### Cruise Speed Management in State On ##############
######################################################################
# Test 36:
32.560001 0.000000 2
# Test 37:
30.060001 0.000000 2
# Test 38:
30.000000 0.000000 2
# Test 39:
150.000000 0.000000 3
# Test 40:
149.000000 0.000000 2
# Test 41:
150.000000 0.000000 2
# Test 42:
100.000000 0.000000 2
# Test 43:
100.000000 0.000000 2
# Test 44:
100.000000 0.000000 1
###########################################################
################### Car Driving in STATE Off->On ##########
###########################################################
# Test 45:
100.000000 0.000000 2
# Test 46:
100.000000 17.226000 2
# Test 47: In OFF: throttle cmd now works
100.000000 9.613000 2
# Test 48: In ON: KI term increases again
100.000000 10.113000 2
# Test 49: In ON: KI term increases again
100.000000 2.000000 2
# Test 50: In ON: KI term increases again
100.000000 2.000000 2
# Test 51: In ON: Goes to off 
100.000000 0.000000 1
# Test 52: In OFF: Goes to on
100.000000 0.000000 2
# Test 53: In ON: 
100.000000 45.000000 2
# MAKE SURE NO BLANK LINES IN FILE
